,y_true,preds,dates
5539,93,90,2018-01-07
5540,161,59,2018-01-14
5541,150,90,2018-01-21
5542,157,59,2018-01-28
5543,183,93,2018-02-04
5544,172,46,2018-02-11
5545,153,47,2018-02-18
5546,170,157,2018-02-25
5547,193,90,2018-03-04
5548,193,170,2018-03-11
5549,192,153,2018-03-18
5550,174,93,2018-03-25
5551,148,172,2018-04-01
5552,164,193,2018-04-08
5553,142,193,2018-04-15
5554,100,193,2018-04-22
5555,170,100,2018-04-29
5556,123,65,2018-05-06
5557,156,164,2018-05-13
5558,139,142,2018-05-20
5559,65,170,2018-05-27
5560,83,174,2018-06-03
5561,75,123,2018-06-10
5562,131,223,2018-06-17
5563,112,131,2018-06-24
5564,105,170,2018-07-01
5565,120,75,2018-07-08
5566,67,170,2018-07-15
5567,94,124,2018-07-22
5568,142,120,2018-07-29
5569,152,120,2018-08-05
5570,130,120,2018-08-12
