,y_true,preds,dates
5997,73,100,2018-01-07
5998,76,59,2018-01-14
5999,74,119,2018-01-21
6000,106,64,2018-01-28
6001,108,73,2018-02-04
6002,79,74,2018-02-11
6003,68,64,2018-02-18
6004,96,73,2018-02-25
6005,106,96,2018-03-04
6006,109,96,2018-03-11
6007,113,96,2018-03-18
6008,105,96,2018-03-25
6009,80,109,2018-04-01
6010,107,76,2018-04-08
6011,81,106,2018-04-15
6012,79,113,2018-04-22
6013,223,79,2018-04-29
6014,199,79,2018-05-06
6015,240,79,2018-05-13
6016,128,113,2018-05-20
6017,61,79,2018-05-27
6018,89,79,2018-06-03
6019,93,79,2018-06-10
6020,140,79,2018-06-17
6021,125,93,2018-06-24
6022,113,93,2018-07-01
6023,86,140,2018-07-08
6024,134,93,2018-07-15
6025,125,125,2018-07-22
6026,145,240,2018-07-29
6027,150,79,2018-08-05
6028,133,240,2018-08-12
